incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
INC001115,Assault,South,Maplewood,GA,2830 Cedar Lane,36.974169,-77.50071,2024-04-16 08:45:03,OFF0078,Emily,Davis,1342.0,SUS00281,Barbara,Thomas,51.0,Male,asian,VIC00642,Robert,Torres,51.0,Unknown,6223265920,Firearm,Medium,Open,No Arrest,2.0,23630.9,Yes,Incident at 2830 Cedar Lane. Officer responded at scene.
INC004706,Burglary,Southeast,Maplewood,OH,2361 Park Rd,29.422717,-77.167016,2022-01-11 22:03:29,OFF0059,Michelle,Green,5133.0,SUS00376,Barbara,Harris,46.0,Other,Black,VIC00262,John,Martin,49.0,Male,241-973-4826,Firearm,High,Closed,Arrest Made,2.0,44839.49,Yes,Incident at 2361 Park Rd. Officer responded at scene.
INC002249,Homicide,Southwest,Lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,OFF0088,Michael,White,7781.0,SUS00560,Richard,Scott,19.0,Female,asian,VIC00518,Richard,Hill,29.0,Other,244-584-7696,Knife,Low,Closed,Warning Issued,2.0,15963.38,Yes,Incident at 1067 Main St. Officer responded at scene.
INC000021,Property Damage,Central,Springfield,AZ,4713 Washington Ave,28.633439,-99.030051,2020-12-09 15:14:24,OFF0077,Chris,Jackson,5097.0,SUS00468,Michael,Thomas,46.0,Male,Black,VIC00243,Susan,Young,49.0,Male,5021227484,Hands/Feet,Low,Resolved,Arrest Made,5.0,48680.14,No,Incident at 4713 Washington Ave. Officer responded at scene.
INC000488,Domestic Violence,North,Lakewood,PA,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:13,OFF0083,Susan,Flores,6220.0,SUS00751,Thomas,Jackson,75.0,Female,white,VIC00512,Thomas,Thomas,51.0,Male,9698766873,Unarmed,Medium,Closed,Warning Issued,2.0,23513.01,Yes,No notes available
INC000661,Burglary,East,Hillcrest,CA,3551 Elm Blvd,44.438603,-101.775119,2021-07-31 08:05:29,OFF0089,Jennifer,Green,7082.0,SUS00454,James,Lee,73.0,Female,White,VIC00473,Anthony,Wilson,15.0,Male,590-332-6488,Blunt Object,High,Under Investigation,Arrest Made,1.0,23630.9,Yes,Incident at 3551 Elm Blvd. Officer responded at scene.
INC001727,Robbery,Southeast,Maplewood,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:02,OFF0141,Jennifer,Harris,7747.0,SUS00623,Carol,Harris,58.0,Female,Unknown,VIC00429,Mary,Walker,72.0,Female,431-579-6170,Blunt Object,Critical,Closed,Warning Issued,3.0,23630.9,Yes,Incident at 7394 Cedar Lane. Officer responded at scene.
INC003981,Manslaughter,midtown,Centerville,IL,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:01,OFF0008,Karen,Hall,7869.0,SUS00533,Jennifer,Taylor,73.0,Male,White,VIC00904,David,Torres,49.0,Female,587-505-1798,Hands/Feet,Low,Open,No Arrest,2.0,19075.36,No,Incident at 1610 River Rd. Officer responded at scene.
INC001205,Burglary,East,Centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,OFF0034,Daniel,Jackson,8229.0,SUS00320,Robert,Hill,26.0,Male,Hispanic,VIC00093,Mary,Lee,55.0,Other,3956212676,Hands/Feet,Critical,Under Investigation,Warning Issued,0.0,34452.47,Yes,Incident at 378 Oak Ave. Officer responded at scene.
INC000972,Homicide,Northeast,Riverside,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:18,OFF0093,Mary,Thompson,7242.0,Unknown,Unknown,Unknown,46.0,Female,Black,VIC00859,Michelle,Hill,10.0,Male,376-440-3132,Rifle,Medium,Under Investigation,Arrest Made,5.0,35339.52,No,No notes available
INC002898,Property Damage,Central,Oakdale,NY,9798 Elm Blvd,36.632099,-104.196302,2020-03-03 06:46:12,OFF0035,John,Jones,9036.0,SUS00005,Ashley,Harris,49.0,Female,BLACK,VIC00682,Mark,Young,47.0,Male,596-444-9767,Hands/Feet,High,Under Investigation,Arrest Made,0.0,27438.67,No,Incident at 9798 Elm Blvd. Officer responded at scene.
INC003264,Narcotics,central,Fairview,AZ,8650 Elm Blvd,46.424282,-120.996678,2018-09-09 02:11:36,OFF0111,Donna,Thompson,4688.0,Unknown,Unknown,Unknown,46.0,Female,Black,VIC00084,Anthony,Nguyen,35.0,Unknown,855-624-8658,Bat,Low,Open,Arrest Made,2.0,41738.8,Yes,No notes available
